,signal,feeder,pump
12-05-2019-16:48:39,,b'',
12-05-2019-16:48:40,play,,
12-05-2019-16:48:47,,b'',
12-05-2019-16:48:52,,b'',
12-05-2019-16:48:57,,b'',
12-05-2019-16:49:02,play,b'',
12-05-2019-16:49:09,,b'',
12-05-2019-16:49:14,,b'',
12-05-2019-16:49:19,,b'',
12-05-2019-16:49:24,play,b'',
12-05-2019-16:49:31,,b'',
12-05-2019-16:49:36,,b'',
12-05-2019-16:49:41,,b'',
12-05-2019-16:49:46,play,b'',
12-05-2019-16:49:53,,b'',
12-05-2019-16:49:58,,b'',
12-05-2019-16:50:03,,b'',
12-05-2019-16:50:08,play,b'',
12-05-2019-16:50:15,,b'',
12-05-2019-16:50:20,,b'',
12-05-2019-16:50:25,,b'',
12-05-2019-16:50:30,play,b'',
12-05-2019-16:50:37,,b'',
12-05-2019-16:50:42,,b'',
12-05-2019-16:50:47,,b'',
12-05-2019-16:50:52,play,b'',
12-05-2019-16:50:59,,b'',
12-05-2019-16:51:04,,b'',
12-05-2019-16:51:09,,b'',
12-05-2019-16:51:14,play,b'',
12-05-2019-16:51:21,,b'',
12-05-2019-16:51:26,,b'',
12-05-2019-16:51:31,,b'',
12-05-2019-16:51:36,play,b'',
12-05-2019-16:51:43,,b'',
12-05-2019-16:51:48,,b'',
12-05-2019-16:51:53,,b'',
12-05-2019-16:51:58,play,b'',
12-05-2019-16:52:05,,b'',
12-05-2019-16:52:10,,b'',
12-05-2019-16:52:15,,b'',
12-05-2019-16:52:20,play,b'',
12-05-2019-16:52:27,,b'',
12-05-2019-16:52:32,,b'',
12-05-2019-16:52:37,,b'',
12-05-2019-16:52:42,play,b'',
12-05-2019-16:52:49,,b'',
12-05-2019-16:52:54,,b'',
12-05-2019-16:52:59,,b'',
12-05-2019-16:53:04,play,b'',
12-05-2019-16:53:11,,b'',
12-05-2019-16:53:16,,b'',
12-05-2019-16:53:21,,b'',
12-05-2019-16:53:26,play,b'',
12-05-2019-16:53:33,,b'',
12-05-2019-16:53:38,,b'',
12-05-2019-16:53:43,,b'',
12-05-2019-16:53:48,play,b'',
12-05-2019-16:53:55,,b'',
12-05-2019-16:54:00,,b'',
12-05-2019-16:54:05,,b'',
12-05-2019-16:54:10,play,b'',
12-05-2019-16:54:17,,b'',
12-05-2019-16:54:22,,b'',
12-05-2019-16:54:27,,b'',
12-05-2019-16:54:32,play,b'',
12-05-2019-16:54:39,,b'',
12-05-2019-16:54:44,,b'',
12-05-2019-16:54:49,,b'',
12-05-2019-16:54:55,play,b'',
12-05-2019-16:55:02,,b'',
12-05-2019-16:55:07,,b'',
12-05-2019-16:55:12,,b'',
12-05-2019-16:55:17,play,b'',
12-05-2019-16:55:24,,b'',
12-05-2019-16:55:29,,b'',
12-05-2019-16:55:34,,b'',
12-05-2019-16:55:39,play,b'',
12-05-2019-16:55:46,,b'',
12-05-2019-16:55:51,,b'',
12-05-2019-16:55:56,,b'',
12-05-2019-16:56:01,play,b'',
12-05-2019-16:56:08,,b'',
12-05-2019-16:56:13,,b'',
12-05-2019-16:56:18,,b'',
12-05-2019-16:56:23,play,b'',
12-05-2019-16:56:30,,b'',
12-05-2019-16:56:35,,b'',
12-05-2019-16:56:40,,b'',
12-05-2019-16:56:45,play,b'',
12-05-2019-16:56:52,,b'',
12-05-2019-16:56:57,,b'',
12-05-2019-16:57:02,,b'',
12-05-2019-16:57:07,play,b'',
12-05-2019-16:57:14,,b'',
12-05-2019-16:57:19,,b'',
12-05-2019-16:57:24,,b'',
12-05-2019-16:57:29,play,b'',
12-05-2019-16:57:36,,b'',
12-05-2019-16:57:41,,b'',
12-05-2019-16:57:46,,b'',
12-05-2019-16:57:51,play,b'',
12-05-2019-16:57:58,,b'',
12-05-2019-16:58:03,,b'',
12-05-2019-16:58:08,,b'',
12-05-2019-16:58:13,play,b'',
12-05-2019-16:58:20,,b'',
12-05-2019-16:58:25,,b'',
12-05-2019-16:58:30,,b'',
12-05-2019-16:58:35,play,b'',
12-05-2019-16:58:42,,b'',
12-05-2019-16:58:47,,b'',
12-05-2019-16:58:52,,b'',
12-05-2019-16:58:57,play,b'',
